# NOTES:
# The # Symbol at the start of a line counts as a Comment. To include in dialog, use a \#
# The . Symbol will cause a pause unless escaped with \. (ex: Mr. Oshiro has a pause, Mr\. Oshiro does not)
# Newlines automatically create a Page Break, unless there is an {n} command on the previous line
# Commands: Anything inside of curly braces {...} is a command and should not be translated.

# Inline Text Commands:
# {~}wavy text{/~}
# {!}impact text{/!}
# {>> x}changes speed at which characters are displayed{>>}
# {# 000000}this text is black{#} (uses HEX color values)
# {+MENU_BEGIN} inserts the dialog from the MENU_BEGIN value (in English, "CLIMB")
# {n} creates a newline, without a page break
# {0.5} creates a 0.5 second pause
# {big}this text is large{/big}

# Gameplay Control Commands (should never change)
# {trigger x} this triggers an in-game event
# {anchor} controls the visual position of the textbox in-game

# Language (id,label)
	LANGUAGE=od,Ørd
	ICON=Icons/canadian-english.png
	ORDER=0

# Font (Face, Base Size)
# Use BMFONT to generate the .fnt and image files
	FONT=Renogare,64

# Done loading Meta Data
	BEGIN=true

# Auto-Saving
	AUTOSAVING_TITLE_NS=
		Denne spillet har Selvrænvakkinger
	AUTOSAVING_DESC_NS=
		Ikke tar fra konsollet
		na ka sjar denne ikon
	AUTOSAVING_TITLE_PS4=
		Denne spillet har Selvrænvakkinger
	AUTOSAVING_DESC_PS4=
		Ikke tar fra konsollet
		na ka sjar denne ikon
	AUTOSAVING_TITLE_XB1=
		Denne spillet har Selvrænvakkinger
	AUTOSAVING_DESC_XB1=
		Ikke tar fra konsollet
		na ka sjar denne ikon
	AUTOSAVING_TITLE_PC=
		Denne spillet har Selvrænvakkinger
	AUTOSAVING_DESC_PC=
		Ike tar fra masjinet
		na ka sjar denne ikon

# Main Menu
	MENU_DEBUG=		~FRABUGG~
		Eh, nur bekyme sjarenær.

		{trigger 1 Badeline is revealed}
		
		[MADELINE right sad]
		Yr du... jo?

		[BADELINE left normal]
		Yr {+PART_OF_YOU}.

		[MADELINE right sad]
		Fervor {+PART_OF_ME} virker så {0.3}{*}hjymsom?{/*}

		[BADELINE left worried]
		...

		[BADELINE left angry]
		Denne yr nurlig tæn mœd jo virker, bra?
		Har det.

		[MADELINE right distracted]
		Fulga, jo bœdydder ike-

		[BADELINE left angry]
		Iviter det.
		Jo ka ike sier toppet til letting mœd fyler{n}sud {~}siþralig{/~} resjer fra dytt hovtet.

		[BADELINE left upset]
		Ned sjar, jo bekymer jor.

		[BADELINE left normal]
		Jor þrynger hobby, ned denne...
		
		[MADELINE right sad]
		Jo viter virker galt, ned{n}jo må klatrer denne {+mountain}.

		{trigger 2 Badeline starts laughing}
		
		[BADELINE left scoff]
		Du yr myke þinger, kjær,{n}ned dur yr ike {~}fjellklatrenær{/~}.

		[MADELINE right distracted]
		Sier vor ike?

		{trigger 3 Badeline stops laughing}
		
		[BADELINE left upset]
		Jo viter det yr ike dytt sterkhetet,{n}ned har vort na nur {!}en{/!} tid.
		Du viter ike det mœd du skal går tro.
		Du ka ike håndler denne.
		
		[MADELINE right upset]
		Det yr nøyhaktlig det fer mœd jo må dor denne.
		Yr du eta svak {+PART_OF_ME}, yr eta lejig delet?

		[BADELINE left upset]
		Jo yr eta faktig delet.
		
		[BADELINE left scoff]
		Eh jo {~}prover{/~} yr diplomatig na denne.
		
		[BADELINE left serious]
		{s 4}Jor da går hjem{.6}[BADELINE left serious_alt]sammen.

	CH2_DREAM_PHONECALL=
		[MADELINE_PHONE left distracted]
		Hej?
		
		[EX_PHONE right normal]
		{+MADELINE}?
		...ringer du fra bœtalefon?

		[MADELINE_PHONE left distracted]
		Ja.

		[MADELINE_PHONE left sad]
		Ike, vænter... du ringer jo.

		[EX_PHONE right normal]
		Sud vor sier du?
		
		[MADELINE_PHONE left distracted]
		Bœdydder ike. Jo har vår.
		Jagger jo... nøn.

		[MADELINE_PHONE left sad]
		Jo riktlig ike mœllstår mœd hjer,{n}ned jo viter jo har vår. Jo ka fyler det.
		
		[EX_PHONE right normal]
		{+MADELINE}, du nurlig ringer jo na du {n}selvskrœmmer na miþel til natt.
		Du må ike dor opp nøn{n}galt saga nurlig fer får jott sjaringet.
		
		[MADELINE_PHONE left angry]
		Jo dor det opp ike!
		Du dor denne na alltid!
		
		[EX_PHONE right normal]
		{~}Sjhhh{/~} {0.5}yr bra, dor sin tro vilig.
		Jo fyler, kjærmest.
		Sier tro jo.
		
		[MADELINE_PHONE left sad]
		Jo klatrer {+celeste_mountain}.{n}Finnet denne gam spegelet, e det rœhtet,{n}ned del til jo resjer fra...

		[MADELINE_PHONE left upset]
		...
		...Jo drømmer, œgi?
		
		[EX_PHONE right normal]
		{+MADELINE}. Denatur du drømmer.
		Jo sytt ike tro du nagœn måneder langt.
		Fervor begynner jo na?
		
		[MADELINE_PHONE left angry]
		Yghhh! Fervor klatrer jo denne dum {+mountain} ikår?

		{trigger 0 Badeline appears}
		
		[BADELINE right scoff]
		Jo lurer tæntet.
		
		[BADELINE right upset]
		Yr tid sud du gaver opp eh går hjem.

	# if the MADELINE has never met Theo before
	CH2_THEO_INTRO_NEVER_MET=
		[THEO left normal]
		Hej det, vennig vandenær!

		[MADELINE right distracted]
		Eh... hej.

		{trigger 0 Madeline approaches}
		
		[THEO left normal]
		Så flott natt fer fjellfoht!

		[MADELINE right distracted]
		Gjetter det.

		[THEO left normal]
		Denne utninget yr såå galt. 

		[THEO left excited]
		Jo nærlig ka ike bœviter det etyr!

		[MADELINE right sad]
		Ike eta hœlgimest klatring, œga?

		[MADELINE right distracted]
		Ned gjetter det yr fer mœd jo forsjatt...
		
		[THEO left normal]
		Uåa, det virker mykelig alvarig.
		Jo nurlig fyler hyra fedra sjar{n}munsom mensk ad så œnsom utning.

		[THEO left excited]
		Jo heter {+ theo} ikår, vandenær fra {>> 0.3}{~}inær land!{/~}{>>}
		
		[MADELINE right sad]
		...{0.2}

		[THEO left thinking]
		Ike sier myke, œga?

		[THEO left normal]
		Lajndesom œnsom ulfur tip, jo sjar.{n}Jo nurlig inntenker nøn historie til du.

	# if the MADELINE has met Theo, but never introduced herself
	CH2_THEO_INTRO_NEVER_INTRODUCED=
		[MADELINE right sad]
		Hej {+ theo}, fulga sud fremtidigmer.{n}Heter {+MADELINE}.
		Har myke utopp hovtet.
		
		[THEO left normal]
		Neh denne yr god utning fer det.
		Nøn sud denne rœhtlaker fyler så selvsjarig.
		Riktlig dor jo tro sjar{n}tro spegelet, vi viter.
		
		[MADELINE right distracted]
		Ja... jo mœllstår det.

		[MADELINE right normal]
		Neh, fra vor "{>> 0.5}{~}inær land{/~}{>>}" hejer du?
		
		[THEO left excited]
		Neh, jott innspyrig vennet, jo dor hejer{n}fra eta {0.3}{~}maggig,{0.4} urþig{/~}{0.4} køniglandet...
		
		[THEO left normal]
		{0.4} Seattle.

		[MADELINE right normal]
		Det virker besynn utning.

	# added to the start of the CH2_THEO_A if the MADELINE has met and introduced themselves to Theo
	# (if NEVER_MET and NEVER_INTRODUCED are skipped)
	CH2_THEO_A_EXT=
		[THEO left excited]
		Hej, {+MADELINE}!{n}Du dyd det!

		{trigger 3 Madeline Approaches}

		{+ CH2_THEO_A}

	# normal conversation once introductions are out of the way
	CH2_THEO_A=
		[THEO left normal]
		Klatrer opp tro denne ytt hverden,{n}ned innalltiglig av gild.
		
		[THEO left excited]
		Nurlig sjar tro denne rœhtlakene!
		Jo tar så myke flott fotoer, sågœ sjar du?
		
		[MADELINE right sad]
		Ehh... [MADELINE right normal]bra.

		{trigger 0 Maddy walks to Theo}

		[MADELINE right normal]
		{+ theo}, denne yr flott!
		
		[THEO left thinking]
		Œgi jo skal siþralig resjer tusen fuljenær vœd denne.

		{trigger 1 Theo puts away phone}
		
		[THEO left normal]
		Ah! Vi må formsomlig enaviter denne hjering...
		
		[THEO left excited]
		Tar selfi meda jo!
		
		[MADELINE right distracted]
		Ehhh... Jo viter ike vi det yr så god huþe nur na...
		
		[THEO left normal]
		Nehhh, yr hœlgi. Tæn denne!

		{trigger 2 Theo takes a selfie with Maddy by surprise}
		
		[MADELINE right upset]
		...

	CH2_THEO_B=
		[THEO left normal]
		Fulga sud det.
		Bekymer ike, jo skal ike brykker det.

		[MADELINE right distracted]
		...
		
		[MADELINE right sad]
		Ike, yr bra. Du ka brykker det.
		Jo yr{.2} ike... fotogod.
		
		[THEO left normal]
		{+MADELINE}, ike yr så hverden tro sin!
		Inøn sjar god ivœd sivenær.

		{trigger 0 Add filter to selfie}
		
		[THEO left thinking]
		Lass, ned arbejþet.

	CH2_THEO_C=
		[MADELINE right normal]
		Vor dor tro prover fotoenær?

		[THEO left normal]
		Storfar riktlig liker det.

		[THEO left thinking]
		Virkelig hin ytt halv-frægri{n}uttro fotoenærsirkel.

		[THEO left wtf]
		Jo viter ike vi jo skal yr tæn god na enøn.

		[THEO left normal]
		Ned yr hygge sud fyler nær tro hin.

	CH2_THEO_D=
		[THEO left excited]
		Neh, du fyler vœlgesom sud klatrer eta hœlt {+mountain}?
		
		[MADELINE right normal]
		Ja, sier tro sin jo skal dor.

		[MADELINE right sad]
		Jo yr sluttet rœhter sint lovingene.
		
		[THEO left excited]
		Livmerker! Jo liker det.
		
		[THEO left normal]
		Jo fyler ike så trœstsom sud jo skal resjer toppet tæn du,{n}ned jo fremdyd ike tar bak nur na.

	CH2_THEO_E=
		[THEO left wtf]
		Får du þjonusting ad denne?
		
		[MADELINE right normal]
		Jo har ike smartfon.
		
		[THEO left wtf]
		{+MADELINE}. Jo foreså ike viter mœd sier sud det.

	CH2_END_PHONECALL=
		[MOM_PHONE right normal]
		Hej?
		
		[MADELINE_PHONE left distracted]
		Hej {+ mom}.
		
		[MOM_PHONE right normal]
		{+MADELINE}, så hygge overrasjing!
		Vor dor fohtet?
		
		[MADELINE_PHONE left distracted]
		Yr bra, Nurlig jo fyler litlig... overdruget.
		
		[MOM_PHONE right concerned]
		Ejaa, har du skrœmmanbrying?
		Enbejter tro aþmer kjær, jo uter denne.
		Vor hjer?

	CH2_JOURNAL=
		Yr stofig, gam bok mœd lejer åpnet utopp bordet.
		Skrivet litvorsjått utopp sidet.

	CH2_POEM=
		Draugr{n}
		Ike fra denne jørþet{n}
		Ned fedra det{n}
		Snikking utfra rammet{n}{n}
		Riset, jott hjerte yr borg{n}
		Uttro drømminger yr vœlgebar

# *** Chapter 03 ***

	CH3_OSHIRO_FRONT_DESK=
		[OSHIRO right normal]
		Godkommen! Ka hjelper du jo?

		[MADELINE left surprised]
		Yr du... draugr?
		
		[OSHIRO right worried]
		Draugr? Ike yr toskig.
		
		[OSHIRO right normal]
		Jo yr liggjenær tild denne gildig vileutning.

		[OSHIRO right worried]
		Godkommen tro{.3} {~}{>> .2}eta jørþ-vitet{/~}{>>}{n}{big}Sterig Vileutning Hotell!{/big}

		[OSHIRO right normal]
		{+ mroshiro}, fer þjonuster.
		
		[OSHIRO right sidehappy]
		{+thought}To gjester na en dag!{n}Starfing siþralig œkner!{+endthought}
		
		[OSHIRO right normal]
		Nagœn vormyke tid skal bliver du vœd jor?
		
		[MADELINE left normal]
		Ahhh... Jo nurlig passer gœn.{n}Jo klatrer {+mountain}.
		Har du bak fravei?
		
		[OSHIRO right worried]
		...bak fravei?
		
		[OSHIRO right sideworried]
		{+thought}Nurlig passer gœn? Jor ka ike har denne.{+endthought}
		
		[MADELINE left distracted]
		Du viter jo ka bliviglig fraløser du, rikt?
		
		[OSHIRO right nervous]
		...
		
		[OSHIRO right normal]
		Ikår, jort bak þjonustedœret {n}yr reservet fer nur hotellarbejþenær.

		[OSHIRO right worried]
		Ned, jort topp nivå kønig suite{n}har jørþ-nivå sjatt av toppet.

		[OSHIRO right normal]
		Ja, du skal fyler hœgrebar ad det.
		
		[MADELINE left distracted]
		Œgi jo ka går toppet fra det{n}e klatrer ræn baket?
		
		[OSHIRO right sidehappy]
		{+thought}Eta kønig suite, flott huþe {+ oshiro}!{+endthought}
		
		[OSHIRO right normal]
		Vor heter du, fer jort søgningene?
		
		[MADELINE left normal]
		Heter {+MADELINE}. 
		
		[MADELINE left sad]
		Ned ena, riktlig det uthovner ike jo.

		{trigger 0 Camera zooms back out}
		
		[OSHIRO right normal]
		Rett denne veiet, {+MS_MADELINE}.

	CH3_GUESTBOOK=
		Virker mykelig gam e stofig gjestebok.
		Myke av sider yr dœskaþet ur bort.
		Søgninger, ned, bragþer...
		"Jo skal ike iviter jort tidet ad denne."
		"Jo fylet ike så myke vilig. Takksom."
	
	CH3_OSHIRO_HALLWAY_A=
		[OSHIRO right normal]
		Œgi fuljer jo nærlig, {+MS_MADELINE}.
		Løftenæret uter nurlig ræn hallœnet.
		
		[MADELINE left distracted]
		Hotellet virker mykelig grov form...

		[MADELINE left sad]
		Riktlig yr det åpnet fer starfing?
		
		[OSHIRO right nervous]
		Denatur åpner jor!

		[OSHIRO right worried]
		Eta Sterig Vileutning Hotell skal iforna{n}unnåpner na eta høymest fohtsesonget!

		[OSHIRO right sideworried]
		{+thought}Grov form? Vor bœdydder hœn vœd det?{+endthought}

		[OSHIRO right normal]
		Ah! Œgi trogår jo bærer dytt tahsjene.
		
		[MADELINE left sad]
		Jott tahsja?

		[MADELINE left normal]
		Ike takk, jo skal blihar det.
		
		[OSHIRO right normal]
		Hmm. Fulbra.
		
		[OSHIRO right sidesuspicious]
		{+thought}Så urþe gjeste.{+endthought}

	CH3_OSHIRO_HALLWAY_B=
		[OSHIRO right normal]
		{+MS_MADELINE}, jo riktlig må spyrer der du blihar fœri.

		[OSHIRO right worried]
		Jo liggjer jørþ-nivå vileutning ad denne.{n}Jo har ike tid fer vænter vande gjetter.
		
		[MADELINE left sad]
		Du riktlig må ike vænter jo,{n}nurlig forsjar fer vei gœn denne.
		
		[OSHIRO right sideworried]
		{+thought}Tosket {+oshiro}, bœstudenær yr rikt na alltid!{+endthought}
		{+thought}Starfing siþralig œkner{n}eh du dor tro edrå!?{+endthought}
		
		[OSHIRO right nervous]
		Ahh... denatur {+MS_MADELINE}!
		Œgi fulgaver jo, det ytt ike bra.

		[OSHIRO right normal]
		Œgi, fyler viþra sud forsjar gœn tæn du liker.

	CH3_MEMO_OPENING=
		Gam papir dokker opp fra miþel av unnstahna...

	CH3_MEMO=
		{big}Varsel fer hotellarbejþenærer:{/big}{n}{n}
		Yr jott vørst merket sud sier tro du alle der eta Sterig Vileutning Hotell skal unnåpner œviglig nabak denne sesonget, fedra hjeringer mœd jor ka ike kontroller.{n}{n}
		Ytt flott der þjonuster nehst tro alle du, aster jor arbejþer œviglig fer dœtrœster jort gjettene njytet eta mest hygg e enavitebar hjering tæn ytt mulig.{n}{n}
		Jo skriver denne vœd tung hjert. Denne hotellet dor tro jott hjemmet, denne arbejþenærene e gjettene jott familia. Jo skal sakner alle du kjæriglig.{n}{n}
		-M\. Oshiro

	CH3_OSHIRO_CLUTTER0=
		[OSHIRO left worried]
		Argh! This clutter is out of control!

		{trigger 1 Oshiro paces to the left}

		[OSHIRO left worried flip]
		When did this happen!?

		{trigger 2 Oshiro paces back to the right}

		[OSHIRO left worried]
		I don't even know where to begin...
		
		[MADELINE right sad]
		{+mroshiro}, do you run this whole place by yourself?
		
		[OSHIRO left nervous]
		You're right {+MS_MADELINE},{n}I'll never sort this mess out alone.

		{trigger 0 Oshiro Collapses}
		
		[OSHIRO left drama]
		It's hopeless.

		[MADELINE right distracted]
		That's not what I meant...

		[MADELINE right sad]
		Just breathe, {+MROSHIRO}. Breathe.
		It's just a little spring cleaning.
		
		[MADELINE right distracted]
		Well, more than a little...
		
		[MADELINE right normal]
		But I can help!
		
		[OSHIRO left normal]
		You're too kind.
		
		[OSHIRO left drama]
		But I wouldn't even bother.
		It's a lost cause.

	CH3_OSHIRO_CLUTTER0_B=
		[MADELINE right normal]
		How long have you been running the hotel?

		[OSHIRO left normal]
		Oh, quite some time now.

		[OSHIRO left sideworried]
		{+thought}Business has been... slow.{+endthought}

		[MADELINE right sad]
		You must really love your work.

		[OSHIRO left normal]
		Oh yes, {+MS_MADELINE}.

		{trigger 0 Oshiro gets back up}

		[OSHIRO left normal]
		In the hotel business, our passion is{n}perfecting the delicate art of hospitality.

		[OSHIRO left worried]
		A truly great hotel lives{.2} {~}eternally{/~} in the{n}cherished memories of its satisfied guests.

		[MADELINE right normal]
		That's the spirit!
		Now let's get started on this mess.

	CH3_OSHIRO_CLUTTER1=
		[OSHIRO right normal]
		I haven't even begun cleaning and already{n}I feel a renewed lightness of spirit!
		That's the power of positive thinking!
		
		[MADELINE left distracted]
		Umm, actually...
		
		[MADELINE left normal]
		I cleared out some of the clutter for you.
		
		[OSHIRO right normal]
		Oh yes, thank you, {+MS_MADELINE}.
		But please, relax, and let the hotel staff handle it!
		
		[OSHIRO right sidesuspicious]
		{+thought}{+oshiro}, you fool. You're losing her.{+endthought}

		[OSHIRO right sideworried]
		{+thought}Guests don't want to spend their time cleaning!{+endthought}
		
		[MADELINE left distracted]
		Are you okay?
		
		[OSHIRO right nervous]
		Yes, of course.

		[OSHIRO right worried]
		This is the finest hotel you'll ever visit, you'll see!
		
		[OSHIRO right sideworried]
		{+thought}How could I let my problems pile up like this?{+endthought}

	CH3_OSHIRO_CLUTTER1_B=

		[MADELINE left sad]
		{+mroshiro}, it's okay if the{n}mess is making you anxious.

		[MADELINE left normal]
		I still can't stay the night, but I can help before I leave.

		[OSHIRO right sideworried]
		{+thought}She pities you, {+oshiro}. You're pathetic.{+endthought}

		[MADELINE left upset]
		...

	CH3_OSHIRO_CLUTTER2=
		[MADELINE left normal]
		It's looking a lot nicer in here!
		
		[MADELINE left distracted]
		Can you show me to the exit now?

		[OSHIRO right worried]
		But {+MS_MADELINE}, you've barely enjoyed the{n}myriad luxuries that our hotel has to offer!
		
		[OSHIRO right normal]
		We can talk more once I finish cleaning.

		[OSHIRO right worried]
		I'm very busy!

		[OSHIRO right sidesuspicious]
		{+thought}Yes... young people have no respect these days.{+endthought}
		
		[MADELINE left upset]
		...you're welcome, sheesh.

	CH3_OSHIRO_CLUTTER2_B=
		[MADELINE left angry]
		Do you want my help{.3} or not?

		[OSHIRO right sideworried]
		{+thought}It's over, {+oshiro}. She hates you.{+endthought}

		[MADELINE left upset]
		I{.3} don't... 

		[MADELINE left distracted]
		I'm sorry. 

		[MADELINE left sad]
		Your hotel is...  it's beautiful. Truly world class.
		I wish I could stay.

		[OSHIRO right serious]
		No need to humor me, {+MS_MADELINE}.
		I understand.

	CH3_OSHIRO_CLUTTER_ENDING=
		{anchor bottom}
		[OSHIRO left normal]
		There you are!
		You certainly have a knack for wandering off.
		
		[MADELINE right distracted]
		It was tough, but I sorted everything out for you.
		
		[OSHIRO left normal]
		The Celestial Resort Hotel extends its{n}gratitude for your assistance, {+MS_MADELINE}.
		Of course, the staff had the mess under control.
		
		[MADELINE right upset]
		Oh, sure. Yeah.
		
		[OSHIRO left sideworried]
		{+thought}How humiliating.{+endthought}
		
		[OSHIRO left worried]
		You must be eager to see your room!

		[OSHIRO left normal]
		It's just up the elevator and down the hall.
		
		[MADELINE right upset]
		Sure, what the heck. 
		Show me the presidential suite.
		It sounds lovely.
		
		[OSHIRO left sideworried]
		{+thought}Now's your last chance, {+oshiro}. Don't lose her now.{+endthought}

	CH3_THEO_NEVER_MET=
		[MADELINE left sad]
		Oh hey, are you... {0.2}a guest here?

		{trigger 0 Theo stops trying to pry off the vent cover}
		
		[THEO right worried]
		Wow, I am {~}{!}so{/!}{/~} happy to see another person right now.
		This place seriously gives me the creeps.
		
		[MADELINE left sad]
		There's definitely something strange about it.

		[MADELINE left normal]
		I'm {+MADELINE}, by the way.
		
		[THEO right normal]
		Oh, I'm {+theo}.
		
		[THEO right thinking]
		I'm all about spooky mysteries,{n}but this is getting too real.

		{+CH3_THEO_ESCAPING}

	CH3_THEO_NEVER_INTRODUCED=
		[MADELINE left normal]
		{+theo}! Are you a "guest" here too?

		{trigger 0 Theo stops trying to pry off the vent cover}
		
		[THEO right worried]
		Wow, I am {~}{!}so{/!}{/~} happy to see another person right now.
		I'm all about spooky mysteries,{n}but this is getting too real.
		
		[MADELINE left sad]
		There's definitely something strange about it.

		[MADELINE left normal]
		I'm {+MADELINE}, by the way.
		Sorry about being antisocial earlier,{n}I had a lot on my mind.

		{+CH3_THEO_ESCAPING}

	CH3_THEO_INTRO=
		[MADELINE left normal]
		{+theo}! Are you a "guest" here too?

		{trigger 0 Theo stops trying to pry off the vent cover}
		
		[THEO right worried]
		{+MADELINE}! I am {~}{!}so{/!}{/~} happy to see you right now.
		I'm all about spooky mysteries,{n}but this is getting too real.

		{+CH3_THEO_ESCAPING}

	CH3_THEO_ESCAPING=
		[MADELINE left sad]
		Have you talked to {+mroshiro}?

		[MADELINE left distracted]
		I think he could really use some help.

		{trigger 0 Theo stops trying to pry off the vent cover}
		
		[THEO right wtf]
		You {~}think?{/~} 
		He's a creepy old weirdo.
		I bet he's cleaning out a nook{n}to hide our bodies as we speak.

		{trigger 1 Theo goes back to prying off the vent cover}
		
		[THEO right worried]
		I'm gonna crawl through this vent,{n}it's blowing cold air in from outside.
		Come on!
		
		[MADELINE left sad]
		{+mroshiro}'s troubled, but...{n}I don't think he wants to hurt us.
		
		[MADELINE left normal]
		He just needs to clean up this mess.
		I want to help him.
		
		[THEO right worried flip]
		{+MADELINE}, that's very sweet, but this is dangerous.
		
		{trigger 2 Theo removes vent cover and it flies off. Theo falls down as it comes off, and gets back up}

		[THEO right worried]
		We need to get out of here and call{n}an expert on {0.2}{*}creepy old dudes{/*}.
		We aren't prepared for this.
		
		[MADELINE left distracted]
		I think I can get through to him.

		[MADELINE left normal]
		Go on ahead and I'll catch up with you later.
		
		[THEO right wtf]
		Man, you're more stubborn than my sister.
		I thought that was impossible.

		{trigger 3 Theo walks to Maddy}
		
		[THEO right serious]
		Take care of yourself.

		[MADELINE left normal]
		Thanks {+theo}. I'll see you outside.

	CH3_THEO_VENTS=
		{anchor bottom}
		[THEO right normal upsidedown]
		Man, it's a maze in here.
		How's it going with {+elcreepo}?
		
		[MADELINE left sad]
		I helped him clean up that huge mess,{n}but he was kind of a jerk about it.
		
		[MADELINE left upset]
		And he still thinks he can convince me to stay.
		
		[THEO right wtf upsidedown]
		{+MADELINE}, seriously.
		My bad idea radar is {~}off the charts{/~} on this one. 
		You should get out of here.
		
		[MADELINE left sad]
		If I disappear now, {+mroshiro} could have a meltdown.
		
		[MADELINE left distracted]
		And maybe I can actually do{n}something good.{.3} For once.
		
		[THEO right worried upsidedown]
		Forget your {~}karma{/~}, dude.

		[THEO right wtf upsidedown]
		I think that guy is going to melt down no matter what.

		[THEO right worried upsidedown]
		You have to think about your safety.
		
		[MADELINE left upset]
		{+theo}. I'll be okay.
		
		[THEO right thinking upsidedown]
		Yeah yeah, I didn't expect you to listen.

		[THEO right wtf upsidedown]
		See you on the outside, jailbird.

	CH3_OSHIRO_BREAKDOWN=
		{anchor top}
		[OSHIRO left sideworried]
		{+thought}This is it {+oshiro}, your last chance.{+endthought}

		{trigger 0 Oshiro paces}
		
		[OSHIRO right sidesuspicious]
		{+thought}You already ruined it.{n}Making a guest clean up your mess?{+endthought}
		{+thought}She'll never stay.{+endthought}

		{trigger 1 Oshiro paces}
		
		[OSHIRO left sideworried]
		{+thought}No, she's still here. There's still a chance!{+endthought}

		{trigger 0 Oshiro paces}
		
		[OSHIRO right sidehappy]
		{+thought}The presidential suite is the key.{n}It will surely impress her!{+endthought}

		{trigger 2 Oshiro falls to ground, spawns dust creatures}
		
		[OSHIRO left sideworried]
		{+thought}Get it together, {+oshiro}!{+endthought}

		{trigger 3 Enter Madeline}
		
		[OSHIRO left nervous]
		There you are, {+MS_MADELINE}!
		Follow me quickly! We're almost there.

	CH3_DIARY=
		{anchor bottom}
		It's {+MROSHIRO}'s diary.
		The final entry appears to be decades old...
		"As of today the hotel is officially closed. Charlotte organized the staff for a farewell hike up the mountain. Most of us have never seen the summit."
		"It seemed like a fitting goodbye, but when the time came, I couldn't bear to leave without looking around one last time. I told them to go on without me."
		"I will catch up with them soon, after{n}I double-check that everything is in order..."
		"I can't believe my time here is over.{n}What am I going to do now?"
		"Perhaps I'll stay one last night, so that{n}the hotel and I can have a proper goodbye..."

	CH3_OSHIRO_SUITE=
		{anchor bottom}
		[OSHIRO left normal]
		Here we are, our award-winning presidential suite!

		[OSHIRO left worried]
		Truly, it is the very definition of rustic luxury.

		[OSHIRO left normal]
		I'll stand back and allow you to soak in the majesty.
		I understand it can be a lot to handle.

		{trigger 3 Madeline walks around the room and looks around}
		
		[OSHIRO right nervous]
		So? What do you think?
		
		[MADELINE left sad]
		It's... uh, it's beautiful.
		The furniture looks expensive...

		[MADELINE left distracted]
		It's very... spacious.

		[MADELINE left sad]
		The colors are elegant.

		[MADELINE left normal]
		I can tell you put a lot of work into it.

		[OSHIRO right worried]
		{*}I knew it would impress you!{/*}

		[MADELINE left sad]
		Yeah.

		[MADELINE left distracted]
		...
		So, can I get on the roof from here?
		
		[OSHIRO right sideworried]
		{+thought}You imbecile, you're losing her!{+endthought}
		
		[OSHIRO right nervous]
		Oh err, I almost forgot to mention... 
		Valued guests such as yourself stay in{n}our finest accommodations at half price!
		
		[MADELINE left sad]
		I... don't want to stay.

		{trigger 0 Badeline appears in the mirror}
		
		[OSHIRO right serious]
		Please, {+MS_MADELINE}.
		Please stay.
		
		[MADELINE left upset]
		{+mroshiro}, I've already been sidetracked too long...

		{trigger 1 Badeline escapes the mirror}
		
		[BADELINE right normal]
		{+MADELINE}, sweetie, forget this loser.
		
		[OSHIRO left serious]
		Loser? {silent_trigger 6}
		
		[BADELINE right upset]
		You're in denial, old man. 
		This resort is a {*}{!}dump{/!}{/*}{0.3}.

		[BADELINE right yell]
		No one would {*}{!}ever{/!}{/*} want to stay here.
		
		[BADELINE right scoff]
		Someone had to say it.

		{trigger 4 Madeline steps closer to Oshiro}
		
		[MADELINE left sad]
		She doesn't mean that.
		
		[OSHIRO right serious]
		I... 

		[OSHIRO right lostcontrol]
		I'm very busy.
		Please leave, {+MS_MADELINE}. {silent_trigger 5 Madeline jumps back}
		
		[BADELINE right upset]
		Come on {~}{+MS_MADELINE}{/~}, you heard the man.

		{trigger 2 Badeline blasts a hole in the ceiling}
		
		[BADELINE left normal]
		Where would you be without me?

	CH3_OSHIRO_SUITE_SAD0=
		{anchor bottom}
		[OSHIRO right sideworried]
		{+thought}Why would she say my beautiful hotel is a dump?{+endthought}

	CH3_OSHIRO_SUITE_SAD1=
		{anchor bottom}
		[OSHIRO right sidesuspicious]
		{+thought}How dare she insult you like that.{+endthought}

	CH3_OSHIRO_SUITE_SAD2=
		{anchor bottom}
		[OSHIRO right sideworried]
		{+thought}What if she's right?{+endthought}

	CH3_OSHIRO_SUITE_SAD3=
		{anchor bottom}
		[OSHIRO right sidesuspicious]
		{+thought}Of course she's right.{n}You couldn't even clean up without her help.{+endthought}

	CH3_OSHIRO_SUITE_SAD4=
		{anchor bottom}
		[OSHIRO right lostcontrol]
		{+thought}I tried. I'm doing my best.{+endthought}

	CH3_OSHIRO_SUITE_SAD5=
		{anchor bottom}
		[OSHIRO right serious]
		{+thought}{+MS_MADELINE} only wanted to help!{+endthought}

	CH3_OSHIRO_SUITE_SAD6=
		{anchor bottom}
		[OSHIRO right sideworried]
		{+thought}But why was she so cruel?{+endthought}

	CH3_OSHIRO_START_CHASE=
		[BADELINE left normal]
		I thought we'd never get rid of him.
		You owe me one. 

		[BADELINE left scoff]
		Add it to the list.
		
		[MADELINE right upset]
		Leave me alone.

